,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_rep[127],85.616,0.15442,9.68452,9.61607,69.641,85.4451,101.667,3939.01,3932.46,2727.85,1.00015
y_rep[128],78.5891,0.164407,9.88604,9.96746,62.3406,78.5697,94.6093,3636.17,3650.08,2518.12,1.00071
y_rep[129],78.3286,0.163388,10.0375,10.0813,61.915,78.3572,95.1795,3775.47,3757.85,2614.59,1.00052
y_rep[130],78.3692,0.168161,9.82899,9.814,61.739,78.3513,94.4713,3437.06,4056.02,2380.24,1.00026
y_rep[131],85.1854,0.155281,9.73545,9.71978,69.2084,85.3718,100.982,3943.82,3725.95,2731.18,1.00129
y_rep[132],78.5486,0.156315,9.7557,9.4406,61.9896,78.5578,94.5234,3918.61,3932.3,2713.72,1.00048
y_rep[133],78.5389,0.159174,9.99676,9.91062,61.9811,78.6157,94.5573,3983.9,3727.36,2758.93,1.00054
y_rep[134],85.4423,0.151524,9.76787,9.72251,69.1034,85.4749,101.313,4179.77,4041.01,2894.58,0.999879
y_rep[135],78.4463,0.159141,9.8694,9.52998,62.337,78.3006,94.4438,3899.03,3861.5,2700.16,1.00215
y_rep[136],85.2193,0.15451,9.65472,9.7345,69.3209,85.3419,101.087,3916.3,3977.07,2712.12,1.00079
y_rep[137],73.0815,0.14951,9.5917,9.74554,57.3342,73.05,88.5123,4127.19,3763.91,2858.16,0.99932
y_rep[138],80.7336,0.153305,9.59374,9.63934,65.0907,80.7362,96.6034,3938.74,3732.23,2727.66,1.00096
y_rep[139],80.4519,0.151507,9.74578,9.54013,64.4899,80.2631,96.6225,4145.85,3898.53,2871.09,0.999985
y_rep[140],80.6494,0.152617,9.61363,9.62499,64.6971,80.8898,96.4997,3972.51,3686.9,2751.04,1.00024
y_rep[141],73.3235,0.151458,9.45639,9.49974,57.7639,73.1454,88.3594,3928.44,3693.17,2720.52,0.999355
y_rep[142],73.3264,0.148067,9.57936,9.38615,57.7395,73.3482,89.2022,4200.25,3988.1,2908.76,0.999875
y_rep[143],73.0369,0.148513,9.63066,9.84751,57.2636,73.0561,88.6673,4219.34,4038.62,2921.98,1.00046
y_rep[144],73.2247,0.151248,9.68719,9.66777,57.3219,73.3885,89.0062,4105.88,3814.14,2843.4,1.00001
y_rep[145],80.3456,0.149006,9.63309,9.51931,64.298,80.2924,96.251,4185.04,3812.5,2898.23,1.00092
y_rep[146],80.7007,0.152674,9.65462,9.31161,64.6817,80.8015,96.5167,4008.3,3927.07,2775.83,1.00056
y_rep[147],80.2209,0.153408,9.73729,9.75217,64.4764,80.1475,96.1329,4033.01,3916.13,2792.94,1.00043
y_rep[148],73.1183,0.1541,9.6759,9.59114,57.4763,73.1667,89.4067,3990.9,3870.33,2763.78,1.00072
y_rep[149],80.5328,0.158661,9.50718,9.50599,64.7119,80.8323,96.0006,3629.22,3733.61,2513.31,0.999658
y_rep[150],80.3546,0.155944,9.72848,9.67076,64.3882,80.3829,96.0603,3913.51,3654.59,2710.19,1.00043
y_rep[151],80.2715,0.153884,9.74439,9.37908,64.0542,80.3304,96.4171,4034.95,3879.45,2794.28,1.00061
y_rep[152],80.4502,0.161764,9.71817,9.75005,65.0286,80.4342,96.3214,3613.81,3909.56,2502.64,1.00046
y_rep[153],73.1859,0.152523,9.59254,9.65007,57.2467,73.1975,88.8262,3956.57,4027.26,2740.01,0.999656
y_rep[154],73.1012,0.154062,9.69666,9.68768,57.3243,72.9866,89.4146,4002.4,3921.31,2771.75,1.00057
y_rep[155],73.2029,0.160295,9.74735,9.95342,57.1453,73.1232,89.1214,3749.57,3833.6,2596.65,1.00099
y_rep[156],80.6661,0.153017,9.81897,9.97251,64.347,80.7022,96.7434,4124.81,4098.81,2856.52,1.00023
y_rep[157],73.0728,0.156426,9.64971,9.73149,57.3509,72.9925,89.0023,3857.64,3595.83,2671.5,1.00155
y_rep[158],73.5823,0.148039,9.63764,9.62139,58.1268,73.4581,89.7289,4246.82,4014.08,2941.01,1.00013
y_rep[159],73.3573,0.151663,9.62373,9.66233,57.778,73.2936,89.035,4030.71,4021.04,2791.35,1.00089
y_rep[160],73.2739,0.153019,9.56789,9.50449,57.5911,73.2086,89.227,3922.45,3831.64,2716.38,1.00003
