,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[140],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[141],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[142],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[143],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[144],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[145],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[146],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[147],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[148],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[149],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[150],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[151],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[152],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[153],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[154],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[155],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[156],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[157],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[158],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[159],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[160],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
log_lik[1],-3.38834,0.0021283,0.154696,0.143269,-3.67044,-3.36655,-3.17882,5506.78,3092.78,3813.56,1.00154
log_lik[2],-3.27854,0.0024844,0.139481,0.107456,-3.5425,-3.24762,-3.112,3245.36,3322.23,2247.48,0.999934
log_lik[3],-6.18217,0.0125319,0.822882,0.797704,-7.60387,-6.1431,-4.8923,4464.96,3487.76,3092.08,1.00126
log_lik[4],-3.29298,0.00178284,0.119811,0.104715,-3.51157,-3.27221,-3.13384,4792.99,3357.21,3319.24,1.00129
log_lik[5],-3.20373,0.00130843,0.0763366,0.0693339,-3.33805,-3.19572,-3.09641,3493.21,3372.93,2419.12,1.00001
log_lik[6],-3.32146,0.00185453,0.131664,0.119633,-3.56223,-3.30114,-3.14448,5261.69,3303.0,3643.83,1.00076
log_lik[7],-3.36874,0.00205141,0.148284,0.136546,-3.63917,-3.34743,-3.16757,5447.85,3219.42,3772.75,1.00128
log_lik[8],-3.4708,0.00403548,0.235338,0.217701,-3.90138,-3.43414,-3.16747,3413.94,3375.23,2364.22,1.00072
log_lik[9],-3.25031,0.00158606,0.101192,0.0865117,-3.43545,-3.23429,-3.11514,4216.04,3395.81,2919.7,1.00016
